year,_TYPE_,_FREQ_,WAAge1,WAAge2,WAAge3,WAAge4,WAAge5,WAAge6,WAAge7,WAAge8,WAAge9,WAAge10,WAAge11,WAAge12,WAAge13,WAAge14,WAAge15,WAAge16,WAAge17,WAAge18,WAAge19,WAAge20,WAAge21,WAAge22,WAAge23,WAAge24,WAAge25,WAAge26,WAAge27,TBio_index
2003,1,2,0.0052812316,0.1214828714,0.1531033234,0.1098120407,0.0272487986,0.0304201638,0.0393681457,0.0232002676,0.0214281584,0.0030271399,0.0016428305,0.0009884526,0.0001635945,0.0000526496,0,0.0000526496,0,0.0000526496,0.000412429,0,0,0,0,0,0,0,0,0.5377373964
2004,1,2,0.0012496045,0.0618894775,0.3255162908,0.0891264545,0.1484769724,0.0200974905,0.0143048894,0.045553886,0.0094392277,0.004749798,0.0011765782,0.0002265226,0.0001733172,0,0.0002950505,0,0,0,0.0002408385,0,0,0,0,0,0,0,0,0.7225163983
2005,1,2,0.0018342644,0.1115845973,0.1623681927,0.1157913399,0.0549227138,0.0270754542,0.0102591669,0.0178596772,0.0345549048,0.0076868425,0.0060651528,0,0,0,0.0012186908,0.0009625308,0.0013530215,0,0.0012943051,0.0027718823,0,0,0,0,0,0,0,0.557602737
2006,1,2,0.0049869953,0.1883520601,0.1532175116,0.0972687325,0.0609787764,0.028978287,0.0158729934,0.0040622491,0.0063580172,0.0152819209,0.0025594871,0.0036230017,0,0,0.0003474219,0,0,0.0011029388,0,0,0,0,0,0,0,0,0,0.582990393
2007,1,2,0,0.0346774134,0.1038624689,0.0708829128,0.0391171264,0.0201717899,0.0079485584,0.0036769609,0.0052152438,0.0057022622,0.0022468606,0.0041954154,0.0012809892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2989780018
2008,1,2,0.0004684267,0.1277094527,0.0729753164,0.0536044069,0.0170700654,0.0119622291,0.0109619032,0.0036638791,0.0012761617,0.0004528303,0.0002034069,0.0001869796,0.0001029845,0.0000189893,0.0000325029,0.0000189893,0,0.0000325029,0.0000325029,0.0000325029,0,0,0,0,0,0,0,0.3008060326
2009,1,2,0.0043287082,0.1540895933,0.1971841642,0.0805515208,0.0407740691,0.0305261874,0.0183867908,0.0071709534,0.0053531527,0.0025530495,0,0.0038770762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5447952657
2010,1,2,0.0077953986,0.2223438938,0.2405488301,0.2007688219,0.0326819925,0.0283853654,0.0115565349,0.0061370637,0.0029625913,0.00716298,0.002042332,0.0030410605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7654268646
2011,1,2,0.0002805555,0.2829662462,0.2761618781,0.1433564943,0.0670930341,0.0063305371,0.0198754767,0.0109279083,0.0030117023,0.0027646397,0.0022008464,0.0001439101,0.0001439101,0.0042099026,0,0.0015336494,0,0.0000523538,0,0,0,0,0,0,0,0,0,0.8210530449
2012,1,2,0.0087738262,0.0812171528,0.4006800608,0.2357713074,0.076459253,0.0802592315,0.0132626993,0.0093944286,0.011571324,0.0024658113,0.0058594291,0.0047321321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9304466561
2013,1,2,0,0.0493426842,0.4016846323,0.4665376235,0.2069123712,0.1086554592,0.0542549173,0.0202150747,0.010110847,0.0035528435,0,0.0014550441,0.0014550441,0,0,0,0,0.0032902929,0,0,0,0,0,0,0,0,0,1.3274668341
2014,1,2,0.0041401004,0.296033996,0.4567809683,0.7176828738,0.3407222057,0.2615754031,0.0794357472,0.025108143,0.0290915886,0,0.0049700235,0.0018371369,0,0,0.000926584,0,0,0,0,0,0,0,0,0,0,0,0,2.2183047704
2015,1,2,0.0001666927,0.1856975988,0.3967680662,0.3549554577,0.4325974812,0.2540259792,0.0773165321,0.0127163242,0.037526888,0.0015570551,0.0131987723,0.0000654661,0.0000654661,0.0000327331,0,0.0000327331,0,0.0000327331,0,0,0,0,0,0,0,0,0,1.7667559789
2016,1,2,0.0002572494,0.0887311254,0.4321700691,0.33029376,0.1870151822,0.1805528336,0.1252767374,0.0139593132,0.0459469671,0,0.0088635596,0,0.0019439633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4150107603
2017,1,2,0.0007166172,0.0636257313,0.1688606232,0.5508671938,0.1523064567,0.2072453377,0.1556498663,0.0338106702,0.0918858901,0.0124465021,0.0197142882,0.0106094533,0.0053076674,0,0.003212512,0,0,0,0,0,0,0,0,0,0,0,0,1.4762588094
2018,1,2,0,0.0661520004,0.2126996576,0.3263252307,0.2835986161,0.105983836,0.0688427721,0.0691574641,0.0223061018,0.0231423024,0.003509849,0.0035265638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185244394
2019,1,2,0.000026996,0.0393153105,0.1478059346,0.1767266556,0.2051981134,0.1566429404,0.069133305,0.0459155059,0.0218357553,0.0174043329,0.0104956824,0,0.0016332234,0.0006883778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8928221333
2020,1,2,0,0.1423399221,0.1795707795,0.0997959997,0.0633599822,0.0495348585,0.0472016563,0.0178293735,0.0199326151,0.0084231594,0.0096456266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6376339729
2021,1,2,0.0001139874,0.1691897597,0.3913748139,0.2967467074,0.0759081909,0.0322075728,0.033996438,0.02900624,0.0065776229,0.0085331584,0.005266963,0.0053902308,0.0032274068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0575390919
2022,1,2,0,0.0160475517,0.1662976213,0.2459625277,0.2242757915,0.055865624,0.03182025,0.0175851743,0.024181703,0.0065944177,0.0068735054,0.001234795,0.0062180483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8029570099
2023,1,2,0,0.0020388775,0.08005655,0.1423365974,0.21066549,0.1609382773,0.0576492185,0.0213340465,0.0067666723,0.0070830716,0.0016161544,0.0021459949,0.0061912267,0.000030159,0,0.000030159,0,0,0,0,0,0,0,0,0,0,0,0.6988824949
